	Accession org1	Taxonomic level 1: org1	Taxonomic level 2: org1	Taxonomic level 3: org1	Genus org1	Species org1	Accession org2	Taxonomic level 1: org2	Taxonomic level 2: org2	Taxonomic level 3: org2	Genus org2	Species org2	Reference 	Link	Ecological interaction	key_org1	key_org2	lineage_org1	lineage_org2
0		Eukaryote	Alveolata	Dinoflagellata	Histioneis	milneri		Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Gordon 1994	http://www.jstor.org/stable/24844780	nitrogen fixation	Eukaryote;Alveolata;Dinoflagellata;Histioneis;milneri	Bacteria;Cyanobacteria;Cyanophyceae;unknown_cyanophyte;unknown_cyanophyte	[4, 8770, 8771, 9217, 0, 0, 0, 0]	[3, 1500, 44560, 0, 0, 0]
1		Eukaryote	Alveolata	Ciliophora	Euplotidium	itoi		Prokaryote	Verrucomicrobia	unknown_verrucomicrobia	unknown_verrucomicrobia	unknown_verrucomicrobia	Petroni et al. 2000	10.1073/pnas.030438197	host defense	Eukaryote;Alveolata;Ciliophora;Euplotidium;itoi	Bacteria;Verrucomicrobia;unknown_verrucomicrobia;unknown_verrucomicrobia;unknown_verrucomicrobia	[4, 8770, 8771, 8848, 8849, 9096, 9118, 9125]	[3, 0, 0, 0, 0, 0]
2	Y19166	Eukaryote	Alveolata	Ciliophora	Euplotidium	arenarium	Y19169	Prokaryote	Verrucomicrobia	unknown_verrucomicrobia	unknown_verrucomicrobia	unknown_verrucomicrobia	Petroni et al. 2000	10.1073/pnas.030438197	host defense	Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Euplotia;Euplotidium;Euplotidium arenarium	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Epixenosomes of Euplotidium arenarium	[4, 8770, 8771, 8848, 8849, 9096, 9118, 9125]	[3, 46698, 46771, 46791, 46801, 0]
3	KT023596	Eukaryote	Obazoa	Breviatea	Lenisia	limosa		Prokaryote	Proteobacteria	Epsilonproteobacteria	Arcrobacter		Hamann et al. 2016	10.1038/nature18297	hydrogen-oxidizing symbiont	Eukaryota;Eukaryota sp. EH-2015	Bacteria;Proteobacteria;Epsilonproteobacteria;Arcrobacter	[4, 0, 0, 0, 0, 0, 0, 0]	[3, 2375, 0, 0, 0, 0]
4		Eukaryote	Alveolata	Ciliophora	Plagiopyla	nasuta		Prokaryote	Archaea	Methanobacteria	Methanobacterium	formicium	Goosen et al. 1988	10.1007/BF00425157	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Plagiopyla;nasuta	Archaea;Methanobacteria;Methanobacterium;formicium	[4, 8770, 8771, 8848, 8849, 8863, 9012, 9019]	[2, 55, 119, 120, 121, 122]
5		Eukaryote	Alveolata	Ciliophora	Metopus	striatus		Prokaryote	Archaea	Methanobacteria	Methanobacterium	formicium	van Bruggen et al. 1984	10.1007/BF00692703	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Metopus;striatus	Archaea;Methanobacteria;Methanobacterium;formicium	[4, 8770, 8771, 8848, 8849, 8850, 8851, 8854]	[2, 55, 119, 120, 121, 122]
6		Eukaryote	Alveolata	Ciliophora	Trimyema	compressum		Prokaryote	Archaea	Methanobacteria	Methanobacterium	formicium	Wagener et al. 1990	10.1007/BF00248433	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Trimyema;compressum	Archaea;Methanobacteria;Methanobacterium;formicium	[4, 8770, 8771, 8848, 8849, 8863, 9012, 9021]	[2, 55, 119, 120, 121, 122]
7	AB285526	Eukaryote	Alveolata	Ciliophora	Trimyema	compressum	AB118591	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		Shinzato et al. 2007	10.1007/s00248-007-9218-1	methanogenic symbiont	Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Conthreep;Plagiopylea;Plagiopylida;Trimyema;Trimyema compressum	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;endosymbiont 'TS1' of Trimyema compressum	[4, 8770, 8771, 8848, 8849, 8863, 9012, 9021]	[2, 55, 119, 120, 121, 123]
8		Eukaryote	Alveolata	Ciliophora	Nyctotherus	ovalis	AJ132639	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Nyctotherus;ovalis	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;methanogenic endosymbiont of Nyctotherus ovalis	[4, 8770, 8771, 8848, 8849, 8850, 8858, 8861]	[2, 55, 119, 120, 121, 123]
9		Eukaryote	Alveolata	Ciliophora	Nyctotherus	ovalis	AJ132640	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Nyctotherus;ovalis	Archaea;Methanobacteria;Methanobrevibacter	[4, 8770, 8771, 8848, 8849, 8850, 8858, 8861]	[2, 55, 119, 120, 121, 123]
10		Eukaryote	Alveolata	Ciliophora	Nyctotherus	ovalis	AJ132641	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Nyctotherus;ovalis	Archaea;Methanobacteria;Methanobrevibacter	[4, 8770, 8771, 8848, 8849, 8850, 8858, 8861]	[2, 55, 119, 120, 121, 123]
11		Eukaryote	Alveolata	Ciliophora	Nyctotherus	ovalis	AJ132642	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Nyctotherus;ovalis	Archaea;Methanobacteria;Methanobrevibacter	[4, 8770, 8771, 8848, 8849, 8850, 8858, 8861]	[2, 55, 119, 120, 121, 123]
12		Eukaryote	Alveolata	Ciliophora	Nyctotherus	ovalis	AJ132643	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Nyctotherus;ovalis	Archaea;Methanobacteria;Methanobrevibacter	[4, 8770, 8771, 8848, 8849, 8850, 8858, 8861]	[2, 55, 119, 120, 121, 123]
13		Eukaryote	Alveolata	Ciliophora	Nyctotherus	ovalis	AJ132644	Prokaryote	Archaea	Methanobacteria	Methanobrevibacter		van Hoek et al. 2000	10.1093/oxfordjournals.molbev.a026304	methanogenic symbiont	Eukaryote;Alveolata;Ciliophora;Nyctotherus;ovalis	Archaea;Methanobacteria;Methanobrevibacter	[4, 8770, 8771, 8848, 8849, 8850, 8858, 8861]	[2, 55, 119, 120, 121, 123]
