weight	keystoneindexrank_1	keystoneindexrank_2	key_1	key_2	dataset_1	dataset_2	idtaxonomy_1	idtaxonomy_2	taxonomy_1	taxonomy_2	optimatemp_1	optimatemp_2	amplicon_1	amplicon_2	lineage_1	lineage_2	taxid_1	taxid_2	silvataxidtaxonomy_1	silvataxidtaxonomy_2	pidaInteractionRef	pidaInteractionLink	pidaInteractionType	pidalevel	globiInteractionRef	globiInteractionLink	globiInteractionType	globilevel
0.912513	1	32	1099_02	13849_3	16SV4V5	18SV1V2	100.0	98.9	Bacteria|Marinimicrobia_(SAR406_clade)	Eukaryota|SAR|Stramenopiles|Ochrophyta|Bolidomonas|uncultured_eukaryote	9.48	9.8	a76abec5a033feac65a23c41e0c944900f790596_02	a8eedd48d8b73cf89b74492621b06f6021372b53_3	[3, 0, 0, 0, 0, 0]	[4, 0, 0, 0, 0, 9728]	3	9728	Bacteria;	Eukaryota;SAR;Stramenopiles;Ochrophyta;Bolidomonas;	None	None	None	-1	None	None	None	-1
0.905801	1	9	1099_02	6514_02	16SV4V5	18SV4	100.0	100.0	Bacteria|Marinimicrobia_(SAR406_clade)	Eukaryota|SAR|Alveolata|Protalveolata|Syndiniales|Syndiniales_Group_I	9.48	9.4	a76abec5a033feac65a23c41e0c944900f790596_02	8f7c96a4a617952df67001480fc65a70c05d782f_02	[3, 0, 0, 0, 0, 0]	[4, 9360, 9376, 0, 0, 0]	3	9376	Bacteria;	Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;	None	None	None	-1	None	None	None	-1
0.896804	1	4	1099_02	19_02	16SV4V5	16SV4V5	100.0	100.0	Bacteria|Marinimicrobia_(SAR406_clade)	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Pseudohongiellaceae|Pseudohongiella|uncultured_gamma_proteobacterium	9.48	9.8	a76abec5a033feac65a23c41e0c944900f790596_02	02c69a8750e1b49ebedc19ab97eee3bf03c44346_02	[3, 0, 0, 0, 0, 0]	[3, 2375, 3303, 3593, 26780, 26782]	3	26782	Bacteria;	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Pseudohongiellaceae;Pseudohongiella;	None	None	None	-1	None	None	None	-1
0.880065	1	33	1099_02	14110_3	16SV4V5	18SV1V2	100.0	92.6	Bacteria|Marinimicrobia_(SAR406_clade)	Eukaryota|SAR|Alveolata|Protalveolata|Syndiniales|Syndiniales_Group_I|uncultured_eukaryote	9.48	9.54	a76abec5a033feac65a23c41e0c944900f790596_02	cfb75f97b87c41e2dcae70f691134cce4c0419fb_3	[3, 0, 0, 0, 0, 0]	[4, 9360, 9376, 0, 0, 0]	3	9376	Bacteria;	Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;	None	None	None	-1	None	None	None	-1
0.872931	1	6	1099_02	1099_3	16SV4V5	16SV4V5	100.0	100.0	Bacteria|Marinimicrobia_(SAR406_clade)	Bacteria|Marinimicrobia_(SAR406_clade)	9.48	9.4	a76abec5a033feac65a23c41e0c944900f790596_02	a76abec5a033feac65a23c41e0c944900f790596_3	[3, 0, 0, 0, 0, 0]	[3, 0, 0, 0, 0, 0]	3	3	Bacteria;	Bacteria;	None	None	None	-1	None	None	None	-1
0.866613	1	10	1099_02	19_3	16SV4V5	16SV4V5	100.0	100.0	Bacteria|Marinimicrobia_(SAR406_clade)	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Pseudohongiellaceae|Pseudohongiella|uncultured_gamma_proteobacterium	9.48	9.9	a76abec5a033feac65a23c41e0c944900f790596_02	02c69a8750e1b49ebedc19ab97eee3bf03c44346_3	[3, 0, 0, 0, 0, 0]	[3, 2375, 3303, 3593, 26780, 26782]	3	26782	Bacteria;	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Pseudohongiellaceae;Pseudohongiella;	None	None	None	-1	None	None	None	-1
0.865463	1	20	1099_02	306_02	16SV4V5	16SV4V5	100.0	100.0	Bacteria|Marinimicrobia_(SAR406_clade)	Archaea|Crenarchaeota|Nitrososphaeria|Nitrosopumilales|Nitrosopumilaceae|Candidatus_Nitrosopelagicus|uncultured_marine_archaeon	9.48	9.4	a76abec5a033feac65a23c41e0c944900f790596_02	2cf9b2227c9680a27d528f97f75c3c3abb55443c_02	[3, 0, 0, 0, 0, 0]	[2, 6, 42927, 42939, 42940, 0]	3	42940	Bacteria;	Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;	None	None	None	-1	None	None	None	-1
0.862601	1	15	1099_02	11808_3	16SV4V5	COI	100.0	80.5	Bacteria|Marinimicrobia_(SAR406_clade)	Eukaryota|Stramenopiles|PX clade|Phaeophyceae|Laminariales|Agaraceae|g:Neoagarum|Neoagarum+fimbriatum	9.48	9.3	a76abec5a033feac65a23c41e0c944900f790596_02	a6c133f88b762c67d345d2785d2083a59b92be25_3	[3, 0, 0, 0, 0, 0]	[4, 0, 9981, 0, 0, 0]	3	9981	Bacteria;	Eukaryota;SAR;Stramenopiles;Ochrophyta;Phaeophyceae;	None	None	None	-1	None	None	None	-1
0.862068	1	3	1099_02	1634_3	16SV4V5	16SV4V5	100.0	99.7	Bacteria|Marinimicrobia_(SAR406_clade)	Bacteria|Dadabacteria|Dadabacteriia|Dadabacteriales	9.48	9.85	a76abec5a033feac65a23c41e0c944900f790596_02	f5d727b3a49b5d4317612f4f7ef1f695bcbd6f7b_3	[3, 0, 0, 0, 0, 0]	[3, 25537, 25538, 25539, 0, 0]	3	25539	Bacteria;	Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;	None	None	None	-1	None	None	None	-1
0.86158	1	2	1099_02	2684_02	16SV4V5	18SV4	100.0	99.5	Bacteria|Marinimicrobia_(SAR406_clade)	Eukaryota|SAR|Stramenopiles|Ochrophyta|Bolidomonas|uncultured_stramenopile	9.48	9.9	a76abec5a033feac65a23c41e0c944900f790596_02	1db19c86d4b421c5df48f24c0c9f44ade079a8bf_02	[3, 0, 0, 0, 0, 0]	[4, 0, 0, 0, 0, 9728]	3	9728	Bacteria;	Eukaryota;SAR;Stramenopiles;Ochrophyta;Bolidomonas;	None	None	None	-1	None	None	None	-1
0.85522	1	90	1099_02	6514_3	16SV4V5	18SV4	100.0	100.0	Bacteria|Marinimicrobia_(SAR406_clade)	Eukaryota|SAR|Alveolata|Protalveolata|Syndiniales|Syndiniales_Group_I	9.48	10.95	a76abec5a033feac65a23c41e0c944900f790596_02	8f7c96a4a617952df67001480fc65a70c05d782f_3	[3, 0, 0, 0, 0, 0]	[4, 9360, 9376, 0, 0, 0]	3	9376	Bacteria;	Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;	None	None	None	-1	None	None	None	-1
0.84355	1	229	1099_02	12157_3	16SV4V5	COI	100.0	82.4	Bacteria|Marinimicrobia_(SAR406_clade)	Unknown	9.48	9.92	a76abec5a033feac65a23c41e0c944900f790596_02	cffbe4e72e712bb56a0c73de9da1357d0671ef2f_3	[3, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0]	3	0	Bacteria;	None	None	None	None	-1	None	None	None	-1
0.843374	1	22	1099_02	1400_02	16SV4V5	16SV4V5	100.0	99.7	Bacteria|Marinimicrobia_(SAR406_clade)	Bacteria|Proteobacteria|Gammaproteobacteria|HOC36|uncultured_bacterium	9.48	9.9	a76abec5a033feac65a23c41e0c944900f790596_02	d7da802b8aac85dbbc99f9e80498e97617185950_02	[3, 0, 0, 0, 0, 0]	[3, 2375, 3303, 0, 0, 0]	3	3303	Bacteria;	Bacteria;Proteobacteria;Gammaproteobacteria;	None	None	None	-1	None	None	None	-1
0.842834	1	29	1099_02	12054_3	16SV4V5	COI	100.0	82.2	Bacteria|Marinimicrobia_(SAR406_clade)	Eukaryota|Stramenopiles|Bacillariophyta|Bacillariophyceae|Bacillariophycidae|Bacillariales|Bacillariaceae|g:Nitzschia|Nitzschia+cf. promare	9.48	9.35	a76abec5a033feac65a23c41e0c944900f790596_02	c3fff6aab17302e56acb7af1a91efffe2164701f_3	[3, 0, 0, 0, 0, 0]	[4, 9782, 9785, 0, 0, 9823]	3	9823	Bacteria;	Eukaryota;SAR;Stramenopiles;Ochrophyta;Diatomea;Bacillariophytina;Bacillariophyceae;Nitzschia;	None	None	None	-1	None	None	None	-1
0.842101	1	37	1099_02	13001_3	16SV4V5	18SV1V2	100.0	99.7	Bacteria|Marinimicrobia_(SAR406_clade)	Eukaryota|SAR|Rhizaria|Cercozoa|uncultured|uncultured_eukaryote	9.48	12.15	a76abec5a033feac65a23c41e0c944900f790596_02	38c17a4e69b70a4a31257d23aceff6d1b03d1294_3	[3, 0, 0, 0, 0, 0]	[4, 9388, 0, 0, 0, 0]	3	9388	Bacteria;	Eukaryota;SAR;Rhizaria;Cercozoa;	None	None	None	-1	None	None	None	-1
0.839293	1	64	1099_02	11198_3	16SV4V5	COI	100.0	86.3	Bacteria|Marinimicrobia_(SAR406_clade)	Eukaryota|Stramenopiles|Bacillariophyta|Bacillariophyceae|Bacillariophycidae|Bacillariales|Bacillariaceae|g:Cylindrotheca|Cylindrotheca+closterium	9.48	9.35	a76abec5a033feac65a23c41e0c944900f790596_02	5fa51f119d66679b6126d8b9fa703570b50072ea_3	[3, 0, 0, 0, 0, 0]	[4, 9782, 9785, 0, 0, 9800]	3	9800	Bacteria;	Eukaryota;SAR;Stramenopiles;Ochrophyta;Diatomea;Bacillariophytina;Bacillariophyceae;Cylindrotheca;	None	None	None	-1	None	None	None	-1
