weight	keystoneindexrank_1	keystoneindexrank_2	key_1	key_2	dataset_1	dataset_2	idtaxonomy_1	idtaxonomy_2	taxonomy_1	taxonomy_2	optimatemp_1	optimatemp_2	amplicon_1	amplicon_2	lineage_1	lineage_2	taxid_1	taxid_2	silvataxidtaxonomy_1	silvataxidtaxonomy_2	pidaInteractionRef	pidaInteractionLink	pidaInteractionType	pidalevel	globiInteractionRef	globiInteractionLink	globiInteractionType	globilevel
0.962996065616608	1	298	365_3	11502_3	16SV4V5	COI	100.0	78.9	Bacteria|Planctomycetota|Phycisphaerae|Phycisphaerales|Phycisphaeraceae|CL500-3|uncultured_bacterium	Eukaryota|Haptista|Haptophyta|Prymnesiophyceae|Prymnesiales|Chrysochromulinaceae|g:Chrysochromulina|Chrysochromulina+simplex	15.75	13.6	33cc08b43349343ba1725f6d9fba3b115bcb0b73_3	82a109d2dc579eb3d7c52af703108476edc0aad7_3	[3, 46016, 46033, 46047, 46049, 0]	[4, 6372, 0, 6393, 0, 6396]	46049	6396	Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;	Eukaryota;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulina;	None	None	None	-1	None	None	None	-1
0.957666516304016	1	820	365_3	5296_3	16SV4V5	18SV4	100.0	100.0	Bacteria|Planctomycetota|Phycisphaerae|Phycisphaerales|Phycisphaeraceae|CL500-3|uncultured_bacterium	Eukaryota|SAR|Rhizaria|Retaria|Acantharia|Holocanthida|Trizona_brandti	15.75	15.75	33cc08b43349343ba1725f6d9fba3b115bcb0b73_3	6a08afd2e22acfc0c4686bff5c1ddab8bd287266_3	[3, 46016, 46033, 46047, 46049, 0]	[4, 9540, 9542, 9556, 0, 0]	46049	9556	Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;	Eukaryota;SAR;Rhizaria;Retaria;Acantharia;Holocanthida;	None	None	None	-1	None	None	None	-1
0.930019822280658	1	821	365_3	7411_02	16SV4V5	18SV4	100.0	100.0	Bacteria|Planctomycetota|Phycisphaerae|Phycisphaerales|Phycisphaeraceae|CL500-3|uncultured_bacterium	Eukaryota|SAR|Stramenopiles|Ochrophyta|Diatomea|Bacillariophytina|Mediophyceae|Thalassiosira|Thalassiosira_delicatula	15.75	11.55	33cc08b43349343ba1725f6d9fba3b115bcb0b73_3	a8a74fb18b9b5c6773034485598ef73ca8ad134f_02	[3, 46016, 46033, 46047, 46049, 0]	[4, 9782, 9842, 0, 0, 9884]	46049	9884	Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;	Eukaryota;SAR;Stramenopiles;Ochrophyta;Diatomea;Bacillariophytina;Mediophyceae;Thalassiosira;	None	None	None	-1	['Meyer R.S., et al.,\xa0Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2019']	[nan]	['coOccursWith']	1
0.900183618068695	1	297	365_3	3909_02	16SV4V5	18SV4	100.0	99.7	Bacteria|Planctomycetota|Phycisphaerae|Phycisphaerales|Phycisphaeraceae|CL500-3|uncultured_bacterium	Eukaryota|SAR|Alveolata|Dinoflagellata|Dinophyceae	15.75	10.48	33cc08b43349343ba1725f6d9fba3b115bcb0b73_3	4179e643d48d8cc433dc9563ec4814b39b6fec94_02	[3, 46016, 46033, 46047, 46049, 0]	[4, 9217, 9219, 0, 0, 0]	46049	9219	Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;	Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;	None	None	None	-1	['https://www.ucedna.com']	[nan]	['coOccursWith']	1
0.849688933571552	1	284	365_3	5339_3	16SV4V5	18SV4	100.0	94.8	Bacteria|Planctomycetota|Phycisphaerae|Phycisphaerales|Phycisphaeraceae|CL500-3|uncultured_bacterium	Eukaryota|Picozoa|uncultured_phototrophic_eukaryote	15.75	13.35	33cc08b43349343ba1725f6d9fba3b115bcb0b73_3	6ba25dd9e815e22f3f8e57554d8053bcf8a7a0e3_3	[3, 46016, 46033, 46047, 46049, 0]	[4, 8763, 0, 0, 0, 0]	46049	8763	Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;	Eukaryota;Picozoa;	None	None	None	-1	None	None	None	-1
0.802834570407867	1	285	365_3	12985_3	16SV4V5	18SV1V2	100.0	100.0	Bacteria|Planctomycetota|Phycisphaerae|Phycisphaerales|Phycisphaeraceae|CL500-3|uncultured_bacterium	Eukaryota|SAR|Rhizaria|Retaria|Acantharia|Holocanthida|Trizona_brandti	15.75	15.75	33cc08b43349343ba1725f6d9fba3b115bcb0b73_3	366f3209a479cde5aa28836eac790579756e28b1_3	[3, 46016, 46033, 46047, 46049, 0]	[4, 9540, 9542, 9556, 0, 0]	46049	9556	Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;	Eukaryota;SAR;Rhizaria;Retaria;Acantharia;Holocanthida;	None	None	None	-1	None	None	None	-1
0.993318617535963	2	790	12518_3	1228_02	COI	16SV4V5	99.7	98.7	Eukaryota|Stramenopiles|Bacillariophyta|Coscinodiscophyceae|Rhizosoleniophycidae|Rhizosoleniales|Rhizosoleniaceae|g:Rhizosolenia|Rhizosolenia+setigera	Bacteria|Marinimicrobia_(SAR406_clade)	10.98	10.7	f6defdb3d8847b4a360e5cfc8dd111f994907140_3	bb8e4475c187b4d49cf7eb44bb72f646852eb1e7_02	[4, 9782, 0, 0, 9934, 9938]	[3, 0, 0, 0, 0, 0]	9938	3	Eukaryota;SAR;Stramenopiles;Ochrophyta;Diatomea;Coscinodiscophytina;Rhizosolenids;Rhizosolenia;	Bacteria;	None	None	None	-1	None	None	None	-1
0.991879098714066	2	204	12518_3	852_02	COI	16SV4V5	99.7	100.0	Eukaryota|Stramenopiles|Bacillariophyta|Coscinodiscophyceae|Rhizosoleniophycidae|Rhizosoleniales|Rhizosoleniaceae|g:Rhizosolenia|Rhizosolenia+setigera	Archaea|Thermoplasmatota|Thermoplasmata|Marine_Group_III|uncultured_marine_archaeon	10.98	9.9	f6defdb3d8847b4a360e5cfc8dd111f994907140_3	8341108225d4827857e075c5c479d9fcfd52a208_02	[4, 9782, 0, 0, 9934, 9938]	[2, 43131, 43132, 0, 0, 0]	9938	43132	Eukaryota;SAR;Stramenopiles;Ochrophyta;Diatomea;Coscinodiscophytina;Rhizosolenids;Rhizosolenia;	Archaea;Thermoplasmatota;Thermoplasmata;	None	None	None	-1	None	None	None	-1
0.867990970611572	2	201	12518_3	292_02	COI	16SV4V5	99.7	99.5	Eukaryota|Stramenopiles|Bacillariophyta|Coscinodiscophyceae|Rhizosoleniophycidae|Rhizosoleniales|Rhizosoleniaceae|g:Rhizosolenia|Rhizosolenia+setigera	Bacteria|Chloroflexi|Dehalococcoidia|SAR202_clade|marine_metagenome	10.98	14.4	f6defdb3d8847b4a360e5cfc8dd111f994907140_3	2b20aafa3f503d07b0ba2bd1877d99e9b08e4ee9_02	[4, 9782, 0, 0, 9934, 9938]	[3, 1385, 1428, 0, 0, 0]	9938	1428	Eukaryota;SAR;Stramenopiles;Ochrophyta;Diatomea;Coscinodiscophytina;Rhizosolenids;Rhizosolenia;	Bacteria;Chloroflexi;Dehalococcoidia;	None	None	None	-1	None	None	None	-1
0.832179427146912	2	41	12518_3	13097_3	COI	18SV1V2	99.7	99.7	Eukaryota|Stramenopiles|Bacillariophyta|Coscinodiscophyceae|Rhizosoleniophycidae|Rhizosoleniales|Rhizosoleniaceae|g:Rhizosolenia|Rhizosolenia+setigera	Eukaryota|SAR|Alveolata	10.98	14.9	f6defdb3d8847b4a360e5cfc8dd111f994907140_3	46499b0d28e724d998f4b67bc7ae6956f8fd9c57_3	[4, 9782, 0, 0, 9934, 9938]	[4, 0, 0, 0, 0, 0]	9938	4	Eukaryota;SAR;Stramenopiles;Ochrophyta;Diatomea;Coscinodiscophytina;Rhizosolenids;Rhizosolenia;	Eukaryota;	None	None	None	-1	None	None	None	-1
