weight	keystoneindexrank_1	keystoneindexrank_2	key_1	key_2	dataset_1	dataset_2	idtaxonomy_1	idtaxonomy_2	taxonomy_1	taxonomy_2	optimatemp_1	optimatemp_2	amplicon_1	amplicon_2	lineage_1	lineage_2	taxid_1	taxid_2	silvataxidtaxonomy_1	silvataxidtaxonomy_2	pidaInteractionRef	pidaInteractionLink	pidaInteractionType	pidalevel	globiInteractionRef	globiInteractionLink	globiInteractionType	globilevel
0.90960965820657	1	102	760_3	7296_3	16SV4V5	18SV4	91.2	100.0	Bacteria|Verrucomicrobiota|Kiritimatiellae|WCHB1-41|uncultured_bacterium	Eukaryota|SAR|Alveolata|Protalveolata|Syndiniales|Syndiniales_Group_II	12.8	14.68	77dbabf078fdcef5a0631af67c060635bdeaf465_3	a59739a0dea41090c25241dff26f20829c8a0c56_3	[3, 46698, 46732, 0, 0, 0]	[4, 9360, 9376, 0, 0, 0]	46732	9376	Bacteria;Verrucomicrobiota;Kiritimatiellae;	Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;	None	None	None	-1	['Meyer R.S., et al.,\xa0Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2019']	[nan]	['coOccursWith']	1
0.857181447821894	1	807	760_3	2060_3	16SV4V5	18SV4	91.2	99.5	Bacteria|Verrucomicrobiota|Kiritimatiellae|WCHB1-41|uncultured_bacterium	Eukaryota|Amorphea|Obazoa|Opisthokonta|Holozoa|Choanozoa|Choanoflagellata|Choanoflagellida|Acanthoecida|Acanthoecidae|Pleurasiga|uncultured_eukaryote	12.8	12.8	77dbabf078fdcef5a0631af67c060635bdeaf465_3	0a5c4cf1cbadd8c3da6480df4496cef7164b4e44_3	[3, 46698, 46732, 0, 0, 0]	[4, 0, 46962, 0, 46964, 46966]	46732	46966	Bacteria;Verrucomicrobiota;Kiritimatiellae;	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Choanoflagellata;Choanoflagellida;Acanthoecida;Acanthoecidae;Pleurasiga;	None	None	None	-1	None	None	None	-1
0.853585302829742	1	317	760_3	11627_3	16SV4V5	COI	91.2	83.7	Bacteria|Verrucomicrobiota|Kiritimatiellae|WCHB1-41|uncultured_bacterium	Eukaryota|Stramenopiles|Chrysophyceae|Chromulinales|Dinobryaceae|g:Poteriospumella|Poteriospumella+lacustris	12.8	14.4	77dbabf078fdcef5a0631af67c060635bdeaf465_3	915676f58914e73fafc74c4ea1098206380fe7d5_3	[3, 46698, 46732, 0, 0, 0]	[4, 0, 9733, 9738, 0, 28835]	46732	28835	Bacteria;Verrucomicrobiota;Kiritimatiellae;	Eukaryota;SAR;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales;Poteriospumella;	None	None	None	-1	None	None	None	-1
0.848375734646086	1	808	760_3	9049_02	16SV4V5	18SV4	91.2	99.7	Bacteria|Verrucomicrobiota|Kiritimatiellae|WCHB1-41|uncultured_bacterium	Eukaryota|SAR|Stramenopiles|Labyrinthulomycetes|Thraustochytriaceae|Aplanochytrium|uncultured_eukaryote	12.8	14.45	77dbabf078fdcef5a0631af67c060635bdeaf465_3	d97ec23268fb5581d8e8e01a02ceba73a2d0e145_02	[3, 46698, 46732, 0, 0, 0]	[4, 9651, 0, 0, 9665, 9666]	46732	9666	Bacteria;Verrucomicrobiota;Kiritimatiellae;	Eukaryota;SAR;Stramenopiles;Labyrinthulomycetes;Thraustochytriaceae;Aplanochytrium;	None	None	None	-1	None	None	None	-1
0.820110856308683	1	285	760_3	3451_3	16SV4V5	18SV4	91.2	89.5	Bacteria|Verrucomicrobiota|Kiritimatiellae|WCHB1-41|uncultured_bacterium	Eukaryota|SAR|Stramenopiles|Incertae_Sedis|Pirsonia|uncultured_marine_stramenopile	12.8	12.15	77dbabf078fdcef5a0631af67c060635bdeaf465_3	33921495f1ab2f5719259d6acb1012fa1e9b66b3_3	[3, 46698, 46732, 0, 0, 0]	[4, 9649, 0, 0, 0, 9650]	46732	9650	Bacteria;Verrucomicrobiota;Kiritimatiellae;	Eukaryota;SAR;Stramenopiles;Incertae Sedis;Pirsonia;	None	None	None	-1	None	None	None	-1
0.672971487045288	1	303	760_3	12190_3	16SV4V5	COI	91.2	79.9	Bacteria|Verrucomicrobiota|Kiritimatiellae|WCHB1-41|uncultured_bacterium	Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Lophotrochozoa|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Panpulmonata|Hygrophila|Lymnaeoidea|Ancylidae|g:Burnupia|Burnupia+caffra	12.8	14.4	77dbabf078fdcef5a0631af67c060635bdeaf465_3	d3db637ea60faa445165924a68eb2df8480615ae_3	[3, 46698, 46732, 0, 0, 0]	[4, 47350, 47375, 47378, 0, 0]	46732	47378	Bacteria;Verrucomicrobiota;Kiritimatiellae;	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Gastropoda;Heterobranchia;	None	None	None	-1	None	None	None	-1
0.630894899368286	1	354	760_3	12842_3	16SV4V5	18SV1V2	91.2	100.0	Bacteria|Verrucomicrobiota|Kiritimatiellae|WCHB1-41|uncultured_bacterium	Eukaryota|SAR|Rhizaria|Cercozoa|Novel_Clade_2|uncultured_eukaryote	12.8	13.8	77dbabf078fdcef5a0631af67c060635bdeaf465_3	23979d8a50031c4daa3760f5eb8948e43774fb26_3	[3, 46698, 46732, 0, 0, 0]	[4, 9388, 0, 0, 0, 0]	46732	9388	Bacteria;Verrucomicrobiota;Kiritimatiellae;	Eukaryota;SAR;Rhizaria;Cercozoa;	None	None	None	-1	['https://www.ucedna.com']	[nan]	['coOccursWith']	1
0.684673726558685	2	18	7915_02	13323_3	18SV4	18SV1V2	98.7	99.7	Eukaryota|SAR|Alveolata|Protalveolata|Syndiniales|Syndiniales_Group_I|uncultured_eukaryote	Eukaryota|SAR|Alveolata|Protalveolata|Syndiniales|Syndiniales_Group_I|uncultured_eukaryote	14.31	14.31	b7714e36812ac4b1e9d975935fb5def732694e74_02	5fae0a4e41b93ea2c5cbd5e111b67da19e86cb44_3	[4, 9360, 9376, 0, 0, 0]	[4, 9360, 9376, 0, 0, 0]	9376	9376	Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;	Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;	['Cachon 1964']	[nan]	['parasitism']	2	None	None	None	-1
0.658102475581292	2	69	7915_02	11089_3	18SV4	COI	98.7	76	Eukaryota|SAR|Alveolata|Protalveolata|Syndiniales|Syndiniales_Group_I|uncultured_eukaryote	Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Cnidaria|Hydrozoa|Hydroidolina|Siphonophorae|Physonectae|Apolemiidae|g:Apolemia|unclassified Apolemia|Apolemia+sp. BO-2009	14.31	14.72	b7714e36812ac4b1e9d975935fb5def732694e74_02	5505d2cf797fee880d571d4715782c8cba1d1bc7_3	[4, 9360, 9376, 0, 0, 0]	[4, 47484, 47498, 47502, 0, 0]	9376	47502	Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Cnidaria;Hydrozoa;Hydroidolina;Siphonophorae;	None	None	None	-1	None	None	None	-1
0.636973188781843	2	83	7915_02	11496_3	18SV4	COI	98.7	75.1	Eukaryota|SAR|Alveolata|Protalveolata|Syndiniales|Syndiniales_Group_I|uncultured_eukaryote	Unknown	14.31	14.4	b7714e36812ac4b1e9d975935fb5def732694e74_02	819d97daa73a4b18195f7a32df0b85a5b9a5d52a_3	[4, 9360, 9376, 0, 0, 0]	[0, 0, 0, 0, 0, 0]	9376	0	Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;	None	None	None	None	-1	None	None	None	-1
