	1_Q1	1_Q2	1_Q3	2_Q1	2_Q2	2_Q3	3_Q1	3_Q2	3_Q3	4_Q1	4_Q2	4_Q3
0_02												
0_3												
1_02												
1_3												
2_02	0.19162058052157127	0.2838919292751572	0.5555187884660892	0.6130989572872771	0.6995200290925596	0.8534780274138252	0.27083333333333315	0.473958333333333	0.536458333333333	0.14101598602254153	0.19693248542446612	0.24710708461532077
2_3	0.19782215723631164	0.2550730997662227	0.5653952211939146	0.6753733685671391	0.7022960330415103	0.730352554424091	0.27083333333333315	0.41145833333333337	0.4843749999999999	0.11640228663224854	0.1586434181111113	0.2035558290269512
3_02												
3_3												
4_02	0.4566003339485934	0.621883215408128	0.6895549209329239	0.19314291393400174	0.34756977721083576	0.5271033506685981	0.04687499999999993	0.1145833333333332	0.3489583333333333	0.25423936002517933	0.3953455758421504	0.6565474724667085
4_3	0.6360104985124883	0.7049905163632327	0.8559641238435023	0.2714086534420799	0.503773642633426	0.7073292614258281	0.04687499999999993	0.08333333333333295	0.17708333333333326	0.22851448681106065	0.25423936002517933	0.3567162457813218
5_02												
5_3												
6_02	0.621883215408128	0.6895549209329239	0.7481602363604316	0.2714086534420799	0.38816421496123377	0.6084837116549928	0.03645833333333302	0.05729166666666637	0.1145833333333332	0.2035558290269512	0.37249626221749144	0.5829500484249743
6_3	0.621883215408128	0.7049905163632327	0.7221947960254247	0.34756977721083576	0.4863168945878067	0.6903052737050239	0.03645833333333302	0.0729166666666665	0.17708333333333326	0.20334385771093536	0.28906734352566843	0.5339128848601921
7_02												
7_3												
8_02												
8_3	0.6362424762894517	0.6561591844871908	0.7481602363604316	0.17713430153312265	0.19225445568181238	0.22332858570138603	0.05729166666666637	0.1041666666666663	0.18749999999999972	0.5339128848601921	0.5829500484249743	0.7149680230365476
9_02												
9_3	0.6197888283614575	0.6283867927784409	0.7372948745575949	0.044114148125784236	0.16982379669936776	0.17713430153312265	0.1041666666666663	0.15624999999999992	0.18749999999999972	0.5762296674395168	0.6728129085941918	0.7112270018152304
10_02	0.19162058052157127	0.2787285355117297	0.5555187884660892	0.598131589711224	0.6737800583846205	0.6995200290925596	0.4479166666666664	0.473958333333333	0.5	0.13351255262445155	0.1586434181111113	0.2035558290269512
10_3	0.18153673743533594	0.2787285355117297	0.42742155177188174	0.6130989572872771	0.6995200290925596	0.8036043359567914	0.32812499999999994	0.4843749999999999	0.5312499999999998	0.11586676334702566	0.1586434181111113	0.2179615495576447
11_02												
11_3												
12_02												
12_3												
13_02												
13_3												
14_02												
14_3	0.32197637850845945	0.4566003339485934	0.6362424762894517	0.12182743944115723	0.19314291393400174	0.20572656719336563	0.31249999999999983	0.3541666666666665	0.5	0.7149680230365476	0.7286295142068008	0.8722803942469093
15_02												
15_3												
16_02												
16_3	0.1330280831874302	0.17157332607890724	0.3762351380978087	0.20572656719336563	0.509449637502177	0.5473049852493215	0.3749999999999999	0.5416666666666667	0.5468749999999999	0.28395234941249686	0.3953455758421504	0.7252542169154097
17_02												
17_3	0.17215931766670672	0.23794069800382894	0.2838919292751572	0.5835401581107095	0.6737800583846205	0.6922504906665735	0.4687499999999997	0.5	0.5468749999999999	0.11902739623060815	0.13351255262445155	0.2179615495576447
18_02												
18_3												
19_02	0.19177539402221724	0.2838919292751572	0.5555187884660892	0.598131589711224	0.6903052737050239	0.7638959160325614	0.27083333333333315	0.4687499999999997	0.5104166666666664	0.11902739623060815	0.1748742826668609	0.24710708461532077
19_3	0.19177539402221724	0.3095499195626077	0.5555187884660892	0.5897179667869892	0.67977357717798	0.7638959160325614	0.27083333333333315	0.4479166666666664	0.5104166666666664	0.11640228663224854	0.1748742826668609	0.23237166270328424
20_02	0.03266201591422232	0.19659578020008742	0.26671182716756214	0.19314291393400174	0.29005762782239486	0.4237177523984402	0.5	0.5677083333333333	0.5833333333333334	0.5828163663322344	0.7403810688613045	0.8048559052827856
20_3												
21_02	0.24384615799334639	0.4689643240153015	0.6283867927784409	0.20680745526275096	0.4237177523984402	0.6130989572872771	0.1145833333333332	0.3749999999999999	0.536458333333333	0.2179615495576447	0.41388088004294754	0.7286295142068008
21_3	0.2838919292751572	0.5314620837228294	0.7050941485116412	0.2519988961685193	0.503773642633426	0.6922504906665735	0.08333333333333295	0.28125000000000006	0.4947916666666663	0.20334385771093536	0.3040837671335146	0.5791958441374223
22_02												
22_3												
23_02												
23_3												
24_02												
24_3												
25_02												
25_3	0.6283867927784409	0.6362424762894517	0.7372948745575949	0.16982379669936776	0.29140477626930406	0.29140477626930406	0.1041666666666663	0.15624999999999992	0.15624999999999992	0.5762296674395168	0.6027448512322789	0.7149680230365476
26_02												
26_3	0.19162058052157127	0.3552590012047794	0.6360104985124883	0.34756977721083576	0.5897179667869892	0.6753733685671391	0.1145833333333332	0.4479166666666664	0.5	0.11902739623060815	0.2179615495576447	0.3929699312909142
27_02												
27_3												
28_02												
28_3												
29_02												
29_3	0.17215931766670672	0.32197637850845945	0.5314620837228294	0.19314291393400174	0.29005762782239486	0.5622012204001814	0.31249999999999983	0.4687499999999997	0.536458333333333	0.3741837594543658	0.5762296674395168	0.7403810688613045
30_02												
30_3												
31_02	0.18153673743533594	0.2550730997662227	0.2838919292751572	0.5897179667869892	0.7022960330415103	0.771418290412756	0.473958333333333	0.473958333333333	0.4947916666666663	0.022272564406693913	0.14198461836807308	0.1748742826668609
31_3	0.23794069800382894	0.3095499195626077	0.3095499195626077	0.5897179667869892	0.6737800583846205	0.9323088439601396	0.32812499999999994	0.4687499999999997	0.473958333333333	0.11586676334702566	0.11902739623060815	0.2179615495576447
32_02												
32_3												
33_02	0.12006544224740485	0.2550730997662227	0.2787285355117297	0.6922504906665735	0.7022960330415103	0.771418290412756	0.4843749999999999	0.5104166666666664	0.5468749999999999	0.1748742826668609	0.2035558290269512	0.3741837594543658
33_3												
34_02	0.17157332607890724	0.20151343240138253	0.4689643240153015	0.44869087435445804	0.5835401581107095	0.6922504906665735	0.3541666666666665	0.5	0.5520833333333331	0.15552333866807663	0.25423936002517933	0.5357592623842183
34_3	0.19177539402221724	0.2838919292751572	0.5555187884660892	0.509449637502177	0.6240344773227494	0.7022960330415103	0.27083333333333315	0.4843749999999999	0.536458333333333	0.13351255262445155	0.21413465602590373	0.3741837594543658
35_02												
35_3												
36_02												
36_3												
37_02	0.24384615799334639	0.4276766586156298	0.5675039411314385	0.16982379669936776	0.3149227385746509	0.6903052737050239	0.31249999999999983	0.4947916666666663	0.5625000000000001	0.26869927033955116	0.5828163663322344	0.8044999149644682
37_3	0.2550730997662227	0.4276766586156298	0.5259200858329528	0.20572656719336563	0.4882444785313384	0.7022960330415103	0.21874999999999997	0.4479166666666664	0.5468749999999999	0.2035558290269512	0.5357592623842183	0.7930686670194523
38_02												
38_3												
39_02												
39_3												
40_02												
40_3												
41_02												
41_3	0.3762351380978087	0.5435891002272026	0.6895549209329239	0.12208475425887036	0.20572656719336563	0.29140477626930406	0.1041666666666663	0.3489583333333333	0.4687499999999997	0.5828163663322344	0.7252542169154097	0.8501399892898422
42_02												
42_3	0.4922753492126189	0.5147346320709237	0.5699029569452827	0.503773642633426	0.5897179667869892	0.6903052737050239	0.2135416666666663	0.21874999999999997	0.32812499999999994	0.11640228663224854	0.14101598602254153	0.20334385771093536
43_02												
43_3	0.19266085032451924	0.744595970525182	0.744595970525182	0.019510266810728972	0.4237177523984402	0.67977357717798	0.3749999999999999	0.41145833333333337	0.5104166666666664	0.4588545912892882	0.7252542169154097	0.7252542169154097
44_02												
44_3												
45_02												
45_3	0.5298014147179867	0.6895549209329239	0.7050941485116412	0.12182743944115723	0.16982379669936776	0.35515882187280456	0.0312499999999998	0.05729166666666637	0.31249999999999983	0.5414990167060225	0.6867718795011316	0.7252542169154097
46_02												
46_3												
47_02												
47_3												
48_02												
48_3												
49_02												
49_3												
50_02												
50_3												
51_02												
51_3												
52_02												
52_3												
53_02	0.09850241760390807	0.24384615799334639	0.4067464483765202	0.12368153837279773	0.29005762782239486	0.4237177523984402	0.42187499999999983	0.5	0.5677083333333333	0.3953455758421504	0.5828163663322344	0.7403810688613045
